geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
1392,en,AS,Asia,IR,Iran,02,"Māzandarān",,,Shahr,,Asia/Tehran,0
5819,en,EU,Europe,CY,Cyprus,02,"Limassol District",,,Souni,,Asia/Nicosia,1
7240,en,AS,Asia,IR,Iran,28,"North Khorasan",,,Jahan,,Asia/Tehran,0
10293,en,AS,Asia,IR,Iran,26,"Qazvin Province",,,Kaman,,Asia/Tehran,0
10570,en,AS,Asia,IR,Iran,26,"Qazvin Province",,,Alvand,,Asia/Tehran,0
11797,en,AS,Asia,IR,Iran,02,"Māzandarān",,,Afra,,Asia/Tehran,0
14928,en,AS,Asia,IR,Iran,06,Khuzestan,,,Lir,,Asia/Tehran,0
18918,en,EU,Europe,CY,Cyprus,04,Ammochostos,,,Protaras,,Asia/Famagusta,1
20939,en,AS,Asia,IR,Iran,04,"West Azerbaijan Province",,,Post,,Asia/Tehran,0
24711,en,AS,Asia,IR,Iran,05,"Kermanshah Province",,,Aftab,,Asia/Tehran,0
28669,en,AS,Asia,IR,Iran,01,"Gilan Province",,,Talesh,,Asia/Tehran,0
35017,en,AS,Asia,IR,Iran,03,"East Azerbaijan Province",,,Hadishahr,,Asia/Tehran,0
36040,en,AS,Asia,IR,Iran,13,"Hamadan Province",,,Gostar,,Asia/Tehran,0
39912,en,AS,Asia,IR,Iran,27,Golestan,,,"Dadeh Owlum",,Asia/Tehran,0
41486,en,AS,Asia,IR,Iran,00,Markazi,,,Maragheh,,Asia/Tehran,0
41582,en,AS,Asia,IR,Iran,23,Tehran,,,Salehabad,,Asia/Tehran,0
41724,en,AS,Asia,IR,Iran,00,Markazi,,,Ara,,Asia/Tehran,0
43558,en,AS,Asia,IR,Iran,08,Kerman,,,"Chaman Rang",,Asia/Tehran,0
44925,en,AS,Asia,IR,Iran,06,Khuzestan,,,Taha,,Asia/Tehran,0
49518,en,AF,Africa,RW,Rwanda,,,,,,,Africa/Kigali,0
49747,en,AF,Africa,SO,Somalia,BK,Bakool,,,Oddur,,Africa/Mogadishu,0
51537,en,AF,Africa,SO,Somalia,,,,,,,Africa/Mogadishu,0
53654,en,AF,Africa,SO,Somalia,BN,Banaadir,,,Mogadishu,,Africa/Mogadishu,0
54225,en,AF,Africa,SO,Somalia,SH,"Lower Shabeelle",,,Merca,,Africa/Mogadishu,0
57289,en,AF,Africa,SO,Somalia,WO,"Woqooyi Galbeed",,,Hargeisa,,Africa/Mogadishu,0
57723,en,AF,Africa,SO,Somalia,JD,"Middle Juba",,,Gurmeyso,,Africa/Mogadishu,0
58933,en,AF,Africa,SO,Somalia,NU,Nugaal,,,Garoowe,,Africa/Mogadishu,0
58994,en,AF,Africa,SO,Somalia,GE,Gedo,,,Garbahaarrey,,Africa/Mogadishu,0
59611,en,AF,Africa,SO,Somalia,MU,Mudug,,,Gaalkacyo,,Africa/Mogadishu,0
