geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
5819,zh-CN,EU,欧洲,CY,塞浦路斯,02,利马索尔区,,,,,Asia/Nicosia,1
11797,zh-CN,AS,亚洲,IR,伊朗,02,,,,,,Asia/Tehran,0
18918,zh-CN,EU,欧洲,CY,塞浦路斯,04,法马古斯塔区,,,,,Asia/Famagusta,1
49518,zh-CN,AF,非洲,RW,卢旺达,,,,,,,Africa/Kigali,0
49747,zh-CN,AF,非洲,SO,索马里,BK,,,,,,Africa/Mogadishu,0
51537,zh-CN,AF,非洲,SO,索马里,,,,,,,Africa/Mogadishu,0
53477,zh-CN,AF,非洲,SO,索马里,NU,,,,,,Africa/Mogadishu,0
53654,zh-CN,AF,非洲,SO,索马里,BN,,,,摩加迪休,,Africa/Mogadishu,0
54225,zh-CN,AF,非洲,SO,索马里,SH,,,,,,Africa/Mogadishu,0
55671,zh-CN,AF,非洲,SO,索马里,JH,,,,,,Africa/Mogadishu,0
57289,zh-CN,AF,非洲,SO,索马里,WO,,,,,,Africa/Mogadishu,0
57723,zh-CN,AF,非洲,SO,索马里,JD,,,,,,Africa/Mogadishu,0
58994,zh-CN,AF,非洲,SO,索马里,GE,,,,,,Africa/Mogadishu,0
59611,zh-CN,AF,非洲,SO,索马里,MU,,,,,,Africa/Mogadishu,0
62691,zh-CN,AF,非洲,SO,索马里,SA,,,,,,Africa/Mogadishu,0
63400,zh-CN,AF,非洲,SO,索马里,GA,,,,,,Africa/Addis_Ababa,0
63795,zh-CN,AF,非洲,SO,索马里,TO,,,,,,Africa/Mogadishu,0
63949,zh-CN,AF,非洲,SO,索马里,JD,,,,,,Africa/Mogadishu,0
64013,zh-CN,AF,非洲,SO,索马里,BR,,,,博萨索,,Africa/Mogadishu,0
64460,zh-CN,AF,非洲,SO,索马里,HI,,,,,,Africa/Mogadishu,0
64536,zh-CN,AF,非洲,SO,索马里,BY,,,,,,Africa/Mogadishu,0
65785,zh-CN,AF,非洲,SO,索马里,SH,,,,,,Africa/Mogadishu,0
69426,zh-CN,AS,亚洲,YE,也门,AB,阿比扬省,,,,,Asia/Aden,0
69543,zh-CN,AS,亚洲,YE,也门,,,,,,,Asia/Aden,0
70222,zh-CN,AS,亚洲,YE,也门,TA,,,,,,Asia/Aden,0
71132,zh-CN,AS,亚洲,YE,也门,SN,,,,,,Asia/Aden,0
71135,zh-CN,AS,亚洲,YE,也门,HD,哈德拉毛省,,,,,Asia/Aden,0
71137,zh-CN,AS,亚洲,YE,也门,SA,,,,萨那,,Asia/Aden,0
71490,zh-CN,AS,亚洲,YE,也门,BA,贝达省,,,,,Asia/Aden,0
71534,zh-CN,AS,亚洲,YE,也门,RA,赖马省,,,,,Asia/Aden,0
73560,zh-CN,AS,亚洲,YE,也门,LA,拉赫季省,,,,,Asia/Aden,0
74477,zh-CN,AS,亚洲,YE,也门,IB,伊卜省,,,伊卜,,Asia/Aden,0
