"Alabama","Atlanta GA","524"
"Alabama","Birmingham AL","630"
"Alabama","Columbus GA","522"
"Alabama","Columbus-Tupelo-West Point MS","673"
"Alabama","Dothan AL","606"
"Alabama","Huntsville-Decatur (Florence) AL","691"
"Alabama","Meridian MS","711"
"Alabama","Mobile AL-Pensacola (Ft. Walton Beach) FL","686"
"Alabama","Montgomery (Selma) AL","698"
"Alaska","Anchorage AK","743"
"Alaska","Fairbanks AK","745"
"Alaska","Juneau AK","747"
"Arizona","Albuquerque-Santa Fe NM","790"
"Arizona","Phoenix AZ","753"
"Arizona","Tucson (Sierra Vista) AZ","789"
"Arizona","Yuma AZ-El Centro CA","771"
"Arkansas","Ft. Smith-Fayetteville-Springdale-Rogers AR","670"
"Arkansas","Greenwood-Greenville MS","647"
"Arkansas","Jonesboro AR","734"
"Arkansas","Little Rock-Pine Bluff AR","693"
"Arkansas","Memphis TN","640"
"Arkansas","Monroe LA-El Dorado AR","628"
"Arkansas","Shreveport LA","612"
"Arkansas","Springfield MO","619"
"California","Bakersfield CA","800"
"California","Chico-Redding CA","868"
"California","Eureka CA","802"
"California","Fresno-Visalia CA","866"
"California","Los Angeles CA","803"
"California","Medford-Klamath Falls OR","813"
"California","Monterey-Salinas CA","828"
"California","Palm Springs CA","804"
"California","Phoenix AZ","753"
"California","Reno NV","811"
"California","Sacramento-Stockton-Modesto CA","862"
"California","San Diego CA","825"
"California","San Francisco-Oakland-San Jose CA","807"
"California","Santa Barbara-Santa Maria-San Luis Obispo CA","855"
"California","Yuma AZ-El Centro CA","771"
"Colorado","Albuquerque-Santa Fe NM","790"
"Colorado","Colorado Springs-Pueblo CO","752"
"Colorado","Denver CO","751"
"Colorado","Grand Junction-Montrose CO","773"
"Connecticut","Hartford & New Haven CT","533"
"Connecticut","New York NY","501"
"Delaware","Philadelphia PA","504"
"Delaware","Salisbury MD","576"
"District of Columbia","Washington DC (Hagerstown MD)","511"
"Florida","Ft. Myers-Naples FL","571"
"Florida","Gainesville FL","592"
"Florida","Jacksonville FL","561"
"Florida","Miami-Ft. Lauderdale FL","528"
"Florida","Mobile AL-Pensacola (Ft. Walton Beach) FL","686"
"Florida","Orlando-Daytona Beach-Melbourne FL","534"
"Florida","Panama City FL","656"
"Florida","Tallahassee FL-Thomasville GA","530"
"Florida","Tampa-St. Petersburg (Sarasota) FL","539"
"Florida","West Palm Beach-Ft. Pierce FL","548"
"Georgia","Albany GA","525"
"Georgia","Atlanta GA","524"
"Georgia","Augusta GA","520"
"Georgia","Chattanooga TN","575"
"Georgia","Columbus GA","522"
"Georgia","Dothan AL","606"
"Georgia","Greenville-Spartanburg SC-Asheville NC-Anderson SC","567"
"Georgia","Jacksonville FL","561"
"Georgia","Macon GA","503"
"Georgia","Savannah GA","507"
"Georgia","Tallahassee FL-Thomasville GA","530"
"Hawaii","Honolulu HI","744"
"Idaho","Boise ID","757"
"Idaho","Idaho Falls-Pocatello ID","758"
"Idaho","Salt Lake City UT","770"
"Idaho","Spokane WA","881"
"Idaho","Twin Falls ID","760"
"Illinois","Champaign & Springfield-Decatur,IL","648"
"Illinois","Chicago IL","602"
"Illinois","Davenport IA-Rock Island-Moline IL","682"
"Illinois","Evansville IN","649"
"Illinois","Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL","632"
"Illinois","Peoria-Bloomington IL","675"
